Name,Lat,Lon,Region,Trend_code,Count_Date,Count_Season,Count_Type,Count,Accuracy,Data_Source,Pop_Estimate,Comments
Bernard Rocks,-64.12861,-62.01861,1,0,3/15/1986,1985,N,100,5,Poncet data,100,
Blake Island,-63.649,-59.0303,1,0,1/31/1990,1989,N,6,3,Poncet data,6,
Bluff Island,-64.3475,-61.5458,1,0,2/1/1989,1988,N,180,3,Poncet data,180,
Bob Island,-64.9417,-63.4417,1,0,3/8/1983,1982,N,1,UNK,Poncet data,1,
Bongrain Point (Pourquoi Pas Is),-67.7233,-67.7319,1,0,2/15/2010,2009,C,56,1,Lynch et al 2013,32.94117647,
Boyer Rocks,-63.583333,-59.036389,1,0,1/31/1990,1989,N,15,3,Poncet data,15,
Brown Station,-64.895556,-62.870278,1,0,12/14/2015,2015,N,115,1,ASI database,115,
Brown Station,-64.895556,-62.870278,1,2,3/9/1983,1982,N,200,4,Poncet data,200,
Brown Station,-64.895556,-62.870278,1,2,1/30/1986,1985,N,136,3,Poncet data,136,
Brown Station,-64.895556,-62.870278,1,2,12/31/1989,1989,N,146,3,Poncet data,146,
Brown Station,-64.895556,-62.870278,1,2,12/28/1991,1991,N,90,4,Poncet data,90,
Brown Station,-64.895556,-62.870278,1,2,1/13/1994,1993,N,90,1,ASI database,90,
Brown Station,-64.895556,-62.870278,1,2,12/15/1994,1994,N,101,1,ASI database,101,
Brown Station,-64.895556,-62.870278,1,2,11/19/1995,1995,N,80,1,ASI database,80,
Brown Station,-64.895556,-62.870278,1,2,11/25/1996,1996,N,65,1,ASI database,65,
Brown Station,-64.895556,-62.870278,1,2,12/4/1997,1997,N,55,1,ASI database,55,
Brown Station,-64.895556,-62.870278,1,2,12/14/2000,2000,N,48,1,ASI database,48,
Brown Station,-64.895556,-62.870278,1,2,12/13/2001,2001,N,45,1,ASI database,45,
Brown Station,-64.895556,-62.870278,1,2,1/3/2003,2002,N,68,1,ASI database,68,
Brown Station,-64.895556,-62.870278,1,2,12/22/2003,2003,N,78,1,ASI database,78,
Brown Station,-64.895556,-62.870278,1,2,12/14/2004,2004,N,78,1,ASI database,78,
Brown Station,-64.895556,-62.870278,1,2,12/2/2005,2005,N,71,1,ASI database,71,
Brown Station,-64.895556,-62.870278,1,2,11/22/2006,2006,N,75,1,ASI database,75,
Brown Station,-64.895556,-62.870278,1,2,12/5/2007,2007,N,61,1,ASI database,61,
Brown Station,-64.895556,-62.870278,1,2,12/8/2008,2008,N,74,1,ASI database,74,
Brown Station,-64.895556,-62.870278,1,2,1/6/2010,2009,N,66,1,ASI database,66,
Brown Station,-64.895556,-62.870278,1,2,12/15/2010,2010,N,70,1,ASI database,70,
Brown Station,-64.895556,-62.870278,1,2,1/22/2012,2011,N,70,1,ASI database,70,
Brown Station,-64.895556,-62.870278,1,2,1/11/2013,2012,N,76,1,ASI database,76,
Brown Station,-64.895556,-62.870278,1,2,12/23/2013,2013,N,87,1,ASI database,87,
Brown Station,-64.895556,-62.870278,1,2,1/22/2015,2014,N,92,1,ASI database,92,
Bruce Island,-64.8956,-63.1158,1,0,1/21/2016,2015,N,21,2,ASI database,21,
Bruce Island,-64.8956,-63.1158,1,1,12/31/1989,1989,N,114,3,Poncet data,114,
Bryde Island East,-64.8897,-62.9272,1,0,1/26/2016,2015,N,0,1,ASI database,0,
Bryde Island East,-64.8897,-62.9272,1,1,1/31/1986,1985,N,1,1,Poncet data,1,
Byers Peninsula northeast,-62.6164,-61.0283,1,0,2/3/1987,1986,A,35,UNK,Shuford and Spear 1988,23.33333333,"Exact location uncertain - possibly two locations, on Cutler Stack and some other rock between Rowe Point and Lair Point"
Byers Peninsula west,-62.63,-61.14,1,0,2/4/1987,1986,A,120,UNK,Shuford and Spear 1988,80,"Exact location uncertain; could be several distinct sites, anywhere from Start Point to Devil's Point"
Byewater Point,-62.7528,-61.5021,1,0,2/4/1987,1986,A,6,UNK,Shuford and Spear 1988,4,
Cape Anna,-64.5881,-62.4322,1,0,12/28/1989,1989,N,36,UNK,Poncet data,36,There might be nests in more than one location
Cape Anna South,-64.5999,-62.4305,1,0,3/5/1984,1983,N,30,4,Poncet data,30,Exact location is uncertain
Cape Astrup,-64.710833,-63.182778,1,0,12/16/2010,2010,N,19,1,Lynch et al 2013,19,
Cape Astrup,-64.710833,-63.182778,1,1,1/21/1983,1982,N,50,3,Poncet data,50,
Cape Evensen north,-66.14278,-65.69917,1,0,1/25/1990,1989,N,180,3,Poncet data,180,
Cape Garry,-63.3633,-62.2566,1,0,2/5/1987,1986,A,20,UNK,Shuford and Spear 1988,13.33333333,
Cape Herschel Rock,-64.0781,-61.0324,1,0,1/16/1984,1983,N,50,3,Poncet data,50,
Cape Kjellman,-63.7249,-59.4145,1,0,1/31/1990,1989,N,72,3,Poncet data,72,
Cape Laure,-64.766683,-63.349233,1,0,1/26/2016,2015,N,3,1,ASI database,3,
Cape Laure,-64.766683,-63.349233,1,1,1/20/1983,1982,N,28,1,Poncet data,28,"Called ""Bay Point"" in the Poncet data"
Cape Lindsey,-61.107,-55.48,1,0,NA,NA,N,UNK,UNK,Harris 2006,NA,"Harris 2006 lists ""presence"" but no number; value was imputed"
Cape Neumayer South,-63.720278,-60.585556,1,0,1/16/1984,1983,N,30,3,Poncet data,30,
Charles Point,-64.21583,-61.00111,1,0,12/10/2010,2010,N,32,1,Lynch et al 2013,32,
Charles Point,-64.21583,-61.00111,1,1,1/23/1987,1986,N,88,1,Poncet data,88,
Chatos Island,-67.66,-69.152,1,0,NA,2012,N,10,1,Casanovas et al 2015,10,
Chionis Island,-63.8783,-60.6385,1,0,1/16/1984,1983,N,109,3,Poncet data,109,"Exact location is uncertain, likely somewhere on the northwest end of the island"
Chionis Island northeast,-63.8688,-60.5803,1,0,1/16/1984,1983,N,30,5,Poncet data,30,
Chionis Island southwest,-63.8918,-60.6805,1,0,1/16/1984,1983,N,22,3,Poncet data,22,
Christine Island,-64.7946,-64.0236,1,0,NA,2016,N,0,1,W Fraser pers comm,0,"W. Fraser indicated in pers. comm. that this is now an abandoned colony, but has been used as a roosting site."
Christine Island,-64.7946,-64.0236,1,1,12/28/1985,1985,N,18,1,Poncet data,18,"Heimark and Heimark 1988 indicate that this colony was new the season before (1984/85), and that there were 8 nests with eggs on 2 Dec 85, and 8N, 13C on 9 Feb 86."
Claude Point,-64.1167,-62.61,1,0,1/7/1985,1984,N,27,1,Unknown source cited in Poncet data,27,
Cobalescou Island,-64.1795,-61.6499,1,0,12/13/2011,2011,N,3,1,Lynch et al 2013,3,
Cobalescou Island,-64.1795,-61.6499,1,1,1/28/1986,1985,N,90,3,Poncet data,90,
Cockburn Island,-64.2005,-56.8412,1,0,11/19/2006,2006,N,800,5,Lynch et al 2013,800,
Cockburn Island,-64.2005,-56.8412,1,1,NA,1989,N,560,3,Unknown source cited in Poncet data,560,
Cone Island,-67.6749,-69.1531,1,0,NA,2012,N,130,1,Casanovas et al 2015,130,
Cone Island,-67.6749,-69.1531,1,1,1/16/1979,1978,N,55,1,Poncet data,55,
Cormorant Island,-64.7939,-63.9667,1,0,1/16/2017,2017,N,23,UNK,W. Fraser unpublished data,23,
Cormorant Island,-64.7939,-63.9667,1,1,12/28/1985,1985,N,729,1,Poncet data,729,The Poncet count confirms another count from the same season by Heimark and Heimark (1988): 729 N on 2 Dec 1985.
Cuthbertson Rock,-60.7011,-44.4523,0,0,12/29/1983,1983,N,120,3,Poncet data,120,"Since this location was not mentioned by Coria et al. 2011, there is a chance it is now abandoned, or possibly was missed by their survey."
Cuverville Island,-64.6875,-62.6219,1,0,12/15/2015,2015,N,46,1,ASI database,46,
Cuverville Island,-64.6875,-62.6219,1,2,1/22/2015,2014,N,28,1,ASI database,28,
Cuverville Island,-64.6875,-62.6219,1,2,1/5/2013,2012,N,30,1,ASI database,30,
Cuverville Island,-64.6875,-62.6219,1,2,12/23/2011,2011,N,25,2,ASI database,25,
Cuverville Island,-64.6875,-62.6219,1,2,12/23/2009,2009,N,17,1,ASI database,17,
Cuverville Island,-64.6875,-62.6219,1,2,12/8/2008,2008,N,24,1,ASI database,24,
Cuverville Island,-64.6875,-62.6219,1,2,12/26/2007,2007,N,21,1,ASI database,21,
Cuverville Island,-64.6875,-62.6219,1,2,11/22/2006,2006,N,29,1,ASI database,29,
Cuverville Island,-64.6875,-62.6219,1,2,11/22/2005,2005,N,29,1,ASI database,29,
Cuverville Island,-64.6875,-62.6219,1,2,12/13/2004,2004,N,21,1,ASI database,21,
Cuverville Island,-64.6875,-62.6219,1,2,1/1/2004,2003,N,28,1,ASI database,28,
Cuverville Island,-64.6875,-62.6219,1,2,1/2/2003,2002,N,28,1,ASI database,28,
Cuverville Island,-64.6875,-62.6219,1,2,2/7/2002,2001,N,15,1,ASI database,15,
Cuverville Island,-64.6875,-62.6219,1,2,1/19/1996,1995,N,61,1,ASI database,61,
Cuverville Island,-64.6875,-62.6219,1,2,12/23/1988,1988,N,220,3,Poncet data,220,
Cuverville Island,-64.6875,-62.6219,1,2,1/28/1987,1986,N,140,3,Poncet data,140,
Cuverville Island,-64.6875,-62.6219,1,2,1/29/1986,1985,N,145,1,Poncet data,145,
Cuverville Island,-64.6875,-62.6219,1,2,3/10/1983,1982,N,50,4,Poncet data,50,
Darbel Islands,-66.3808,-65.9003,1,0,NA,2012,N,39,1,Casanovas et al 2015,39,Exact location is uncertain
Darbel Islands,-66.3808,-65.9003,1,1,2/1/1984,1983,N,100,3,Poncet data,100,
Davey Point,-61.9689,-58.5302,1,0,1/29/1987,1986,A,15,UNK,Shuford and Spear 1988,10,
Davis Island East,-64.08917,-62.05472,1,0,3/15/1986,1985,N,50,4,Poncet data,50,
Delaite Island,-64.5643,-62.1881,1,0,12/9/2016,2016,N,115,1,ASI database,115,
Delaite Island,-64.5643,-62.1881,1,1,12/28/1989,1989,N,0,1,Poncet data,0,"Poncet data has a record of a colony of 60 pairs on 1/17/1984, but that in 1989 there was no shag colony, and that the chinstrap colony had also been abandoned."
Demas Rocks,-63.35,-58.0333,1,0,2/1/1990,1989,N,10,3,Poncet data,10,
Detaille Island,-66.8708,-66.7867,1,0,1/22/2014,2013,N,2,1,ASI database,2,
Dorian Beacon,-64.811111,-63.511389,1,0,11/15/2015,2015,N,0,1,ASI database,0,Previously had 1 nest in 2007/08 (Lynch et al 2013)
Driencourt Point,-64.2072,-62.5375,1,0,1/29/1987,1986,N,30,3,Poncet data,30,
Duperré Bay,-64.461389,-62.657222,1,0,1/28/1987,1986,N,22,1,Poncet data,22,
Duroch Islands,-63.3033,-57.8903,1,0,2/2/1990,1989,N,30,4,Poncet data,30,Exact location is uncertain
Duthiers Point,-64.8049,-62.8179,1,0,12/30/1989,1989,N,80,3,Poncet data,80,
Duthoit Point,-62.307,-58.835,1,0,NA,2008,N,41,UNK,Casaux and Barrera-Oro 2016,41,
Duthoit Point,-62.307,-58.835,1,2,NA,2004,N,33,UNK,Casaux and Barrera-Oro 2016,33,
Duthoit Point,-62.307,-58.835,1,2,NA,2003,N,36,UNK,Casaux and Barrera-Oro 2016,36,
Duthoit Point,-62.307,-58.835,1,2,NA,2002,N,42,UNK,Casaux and Barrera-Oro 2016,42,
Duthoit Point,-62.307,-58.835,1,2,NA,2001,N,48,UNK,Casaux and Barrera-Oro 2016,48,
Duthoit Point,-62.307,-58.835,1,2,NA,2000,N,66,UNK,Casaux and Barrera-Oro 2016,66,
Duthoit Point,-62.307,-58.835,1,2,NA,1999,N,64,UNK,Casaux and Barrera-Oro 2016,64,
Duthoit Point,-62.307,-58.835,1,2,NA,1998,N,77,UNK,Casaux and Barrera-Oro 2016,77,
Duthoit Point,-62.307,-58.835,1,2,NA,1997,N,73,UNK,Casaux and Barrera-Oro 2016,73,
Duthoit Point,-62.307,-58.835,1,2,NA,1996,N,80,UNK,Casaux and Barrera-Oro 2016,80,
Duthoit Point,-62.307,-58.835,1,2,NA,1995,N,104,UNK,Casaux and Barrera-Oro 2016,104,
Duthoit Point,-62.307,-58.835,1,2,NA,1994,N,120,UNK,Casaux and Barrera-Oro 2016,120,
Duthoit Point,-62.307,-58.835,1,2,NA,1993,N,133,UNK,Casaux and Barrera-Oro 2016,133,
Duthoit Point,-62.307,-58.835,1,2,NA,1992,N,140,UNK,Casaux and Barrera-Oro 2016,140,
Duthoit Point,-62.307,-58.835,1,2,NA,1990,N,163,UNK,Casaux and Barrera-Oro 2016,163,
Earle Island,-63.489,-54.788,1,0,12/14/2015,2015,N,156,1,ASI database,156,
Eckener Point,-64.4309,-61.6042,1,0,11/12/2011,2011,N,62,3,ASI database,62,
Eckener Point,-64.4309,-61.6042,1,1,1/25/1987,1986,N,180,3,A. Morton pers. comm. cited in Poncet data,180,
Elephant Rocks,-64.7695,-64.0735,1,0,NA,2016,N,0,1,W Fraser pers comm,0,W. Fraser (pers. comm.) noted that there used to be a colony here (prior to the Bahia Paraiso spill) but has been extinct for some time.
Emperor Island,-67.8647,-68.71,1,0,NA,2012,N,810,1,Casanovas et al 2015,810,Also referred to as 'Dion Islands'
Emperor Island,-67.8647,-68.71,1,1,1/17/1989,1988,N,500,3,Poncet data,500,
Enterprise Island,-64.5418,-61.9988,1,0,1/30/2008,2007,N,5,1,Lynch et al 2013,5,
Enterprise Island,-64.5418,-61.9988,1,1,12/26/1991,1991,N,20,UNK,C. Verheden pers. comm. cited in Poncet data,20,
Eta Island (Melchior group),-64.2986,-62.8805,1,0,1/29/1987,1986,N,75,3,Poncet data,75,Exact location is uncertain. Described as islets just east of the northeast point of Eta Island (south of the Tau Islands).
Extension Reef,-65.9675,-66.121944,1,0,NA,NA,N,60,UNK,Harris 2006,60,
Fish Islands,-66.0275,-65.361111,1,0,NA,2012,N,78,1,Casanovas et al 2015,78,
Fish Islands,-66.0275,-65.361111,1,1,1/25/1995,1994,N,78,1,ASI Database,78,
Fitchie Bay,-60.724,-44.522,0,0,NA,1993,N,19,UNK,Coria et al. 2011,19,
Fleming Point,-64.3319,-62.5889,1,0,1/29/1987,1986,N,35,3,Poncet data,35,
Fort Point,-62.5431,-59.5752,1,0,12/25/2014,2014,N,1,1,ASI database,1,
Fort Point,-62.5431,-59.5752,1,1,2/10/1987,1986,N,0,UNK,Shuford and Spear 1988,0,
Gaston Islands,-64.4848,-61.827,1,0,12/4/2012,2012,N,43,1,Lynch et al 2013,43,
Gaston Islands,-64.4848,-61.827,1,1,12/27/1989,1989,N,126,1,Poncet data,126,Even earlier counts from the Poncet data (1983 and 1987) had counts more similar to the recent count (~50)
Georges Point,-64.6694,-62.6696,1,0,1/15/2016,2015,N,0,1,ASI database,0,
Georges Point (Ronge Island),-64.6694,-62.6696,1,1,1/17/1984,1983,N,10,3,Poncet data,10,
Ginger Island,-67.7494,-68.6858,1,0,NA,2012,N,504,1,Casanovas et al 2015,504,
Ginger Island,-67.7494,-68.6858,1,1,2/10/1983,1982,N,275,1,Poncet data,275,
Girdler Island,-66.0108,-65.6506,1,0,1/30/1984,1983,N,23,1,Poncet data,23,
Green Island,-65.3236,-64.1487,1,0,1/6/2013,2012,N,89,1,Casanovas et al 2015,89,
Green Island,-65.3236,-64.1487,1,1,2/15/1987,1986,N,50,4,Poncet data,50,
Grey Island,-60.7487,-45.0149,0,0,NA,1988,N,144,UNK,Harris et al. 2011,144,
Grinder Rock,-63.9571,-61.4326,1,0,1/28/1986,1985,N,110,3,Poncet data,110,"In two subcolonies, numbering 50+60"
Guébriant Islands,-67.8017,-68.4053,1,0,NA,1978,N,0,1,Poncet data,0,"Poncet data notes that they ""may nest here"" but presence was unconfirmed"
Half Moon Island,-62.5901,-59.9203,1,0,1/13/2016,2015,N,13,1,ASI database,13,
Hannah Point,-62.6545,-60.6134,1,0,1/24/2015,2014,N,3,1,ASI database,3,
Hannah Point,-62.6545,-60.6134,1,1,12/9/1994,1994,N,10,1,ASI Database,10,
Harmony Point,-62.3064,-59.2425,1,0,NA,2010,N,38,UNK,Casaux and Barrera-Oro 2016,38,
Harmony Point,-62.3064,-59.2425,1,2,NA,2009,N,33,UNK,Casaux and Barrera-Oro 2016,33,
Harmony Point,-62.3064,-59.2425,1,2,NA,2005,N,35,UNK,Casaux and Barrera-Oro 2016,35,
Harmony Point,-62.3064,-59.2425,1,2,NA,2004,N,30,UNK,Casaux and Barrera-Oro 2016,30,
Harmony Point,-62.3064,-59.2425,1,2,NA,2003,N,31,UNK,Casaux and Barrera-Oro 2016,31,
Harmony Point,-62.3064,-59.2425,1,2,NA,2002,N,44,UNK,Casaux and Barrera-Oro 2016,44,
Harmony Point,-62.3064,-59.2425,1,2,NA,2001,N,49,UNK,Casaux and Barrera-Oro 2016,49,
Harmony Point,-62.3064,-59.2425,1,2,NA,2000,N,55,UNK,Casaux and Barrera-Oro 2016,55,
Harmony Point,-62.3064,-59.2425,1,2,NA,1996,N,68,UNK,Casaux and Barrera-Oro 2016,68,
Harmony Point,-62.3064,-59.2425,1,2,NA,1995,N,45,UNK,Casaux and Barrera-Oro 2016,45,
Harmony Point,-62.3064,-59.2425,1,2,NA,1989,N,110,UNK,Casaux and Barrera-Oro 2016,110,
Harmony Point,-62.3064,-59.2425,1,2,NA,1988,N,112,UNK,Casaux and Barrera-Oro 2016,112,
Holdfast Point,-66.7917,-66.5867,1,0,NA,2012,N,62,1,Casanovas et al 2015,62,Includes nests both at the mainland colonies and those on the rocks offshore (Mist Rocks)
Hombron Rocks,-63.466,-58.7,1,0,2/1/1990,1989,N,30,4,Poncet data,30,
Hunt Island,-64.333,-62.117,1,0,11/24/2010,2010,N,20,1,Lynch et al 2013,20,Site also known as 'Pampa Island'
Hunt Island,-64.333,-62.117,1,1,2/3/1987,1986,N,62,4,Poncet data,62,
Hydrurga Rocks,-64.1454,-61.6259,1,0,2/13/2008,2007,C,30,1,Lynch et al 2013,17.64705882,
Hydrurga Rocks,-64.1454,-61.6259,1,1,1/28/1986,1985,N,100,3,Poncet data,100,
Inaccessible Islands,-60.5667,-46.7333,0,0,12/31/1986,1986,N,100,3,Poncet data,100,
Islet 1 km W of Lavosier Island,-66.122,-66.829,1,0,1/10/2013,2012,N,12,1,ASI database,12,
Islet 1 km W of Lavosier Island,-66.122,-66.829,1,1,2/21/1987,1986,N,5,1,Poncet data,5,
Islet E of Guepratte Island,-64.492778,-62.955,1,0,1/29/1987,1986,N,220,3,Poncet data,220,
Islet N of Jagged Island,-65.96,-65.6619,1,0,1/30/1984,1983,N,70,3,Poncet data,70,
Islet N of Meusnier Point,-64.5192,-61.6031,1,0,1/25/1987,1986,N,70,3,Poncet data,70,
Islet NE of Fitzkin Island,-65.514,-65.48,1,0,NA,2012,N,40,1,Casanovas et al 2015,40,
Islet next to Laktionov Island,-65.758531,-65.789737,1,0,NA,2012,N,60,1,Casanovas et al 2015,60,
Islet next to Laktionov Island,-65.758531,-65.789737,1,1,1/11/1990,1989,N,130,3,Poncet data,130,
Islet NW of Spert Island,-63.8225,-60.959722,1,0,1/17/2016,2015,N,11,1,ASI database,11,
Islet NW of Spert Island,-63.8225,-60.959722,1,1,1/22/1987,1986,N,50,5,Poncet data,50,
Islet off of Cape Davidson,-60.75056,-44.81833,0,0,NA,2003,N,181,UNK,Coria et al. 2011,181,
Islet SE of Gerlache Island (1/2),-64.601,-64.214,1,0,2/8/1987,1986,N,124,1,Poncet data,150,
Islet SE of Gerlache Island (2/2),-64.6037,-64.2094,1,0,2/8/1987,1986,N,4,1,Poncet data,4,
Islet SE of Hennessy Islands,-65.9008,-65.6789,1,0,1/30/1984,1983,N,53,3,Poncet data,53,
Islets E of Roget Rocks,-64.332778,-61.139167,1,0,1/24/1987,1986,N,50,3,Poncet data,50,
Islets N of Cape Roquemaurel,-63.5361,-58.9664,1,0,1/18/1987,1986,N,53,3,Poncet data,53,"Exact location is uncertain, colonies were on two nearby islands (19+34 nests)"
Islets N of Dodman Island,-65.91667,-65.78333,1,0,1/30/1984,1983,N,183,3,Poncet data,183,"Two islets (0.5 nm and 1.5 nm north of Dodman Island) containing 20 and 163 pairs, respectively"
Jacques Peak,-64.5097,-61.8481,1,0,12/4/2012,2012,N,50,1,Lynch et al 2013,50,
Jacques Peak,-64.5097,-61.8481,1,1,12/27/1989,1989,N,120,3,Poncet data,120,
Jenny Island,-67.733,-68.383,1,0,1/7/2008,2007,N,1,1,Lynch et al 2013,1,
Jingle Island,-65.4303,-65.3253,1,0,NA,2012,N,7,1,Casanovas et al 2015,7,
Joubin Islands,-64.7744,-64.3992,1,0,2/9/1987,1986,N,250,4,Poncet data,250,"There is some ambiguity about where this colony is, and it's possible that there are multiple colonies in the island group that would be more appropriately treated separately. The Poncet data say: ""In 2 groups on the N coast of an islet lying 2.5 nm WSW of Stayaway Skerries"" (Our best guess for that exact subcolony location: -64.7549, -64.3795). The Poncets also found a single nest in another place in the Joubin group a couple years later, but it was abandoned in the following season, so we did not include that nest in the total. More recently, W. Fraser (pers. comm.) indicated that the colony ""is still active, with a very rough estimate of 50-70 breeding pairs.  The colony is on a dome perhaps 150 feet above the water, so basically inaccessible without climbing gear -- hence the rough estimate."" While it's likely that the population estimate of 250 is probably closer to 50-70 now, it's also possible that there are other sites in the island group, so without a more recent comprehensive survey, we decided to use the older record."
Jougla Point,-64.827,-63.4932,1,0,12/31/2015,2015,N,30,1,ASI database,30,
Jougla Point,-64.827,-63.4932,1,2,12/13/2014,2014,N,35,1,ASI database,35,
Jougla Point,-64.827,-63.4932,1,2,12/13/2013,2013,N,25,1,ASI database,25,
Jougla Point,-64.827,-63.4932,1,2,1/5/2013,2012,N,20,1,ASI database,20,
Jougla Point,-64.827,-63.4932,1,2,11/16/2011,2011,N,28,1,ASI database,28,
Jougla Point,-64.827,-63.4932,1,2,11/25/2010,2010,N,28,1,ASI database,28,
Jougla Point,-64.827,-63.4932,1,2,11/14/2009,2009,N,31,1,ASI database,31,
Jougla Point,-64.827,-63.4932,1,2,11/10/2008,2008,N,33,1,ASI database,33,
Jougla Point,-64.827,-63.4932,1,2,11/25/2007,2007,N,30,1,ASI database,30,
Jougla Point,-64.827,-63.4932,1,2,11/22/2006,2006,N,21,1,ASI database,21,
Jougla Point,-64.827,-63.4932,1,2,12/26/2005,2005,N,20,1,ASI database,20,
Jougla Point,-64.827,-63.4932,1,2,12/20/2004,2004,N,29,1,ASI database,29,
Jougla Point,-64.827,-63.4932,1,2,12/24/2003,2003,N,33,1,ASI database,33,
Jougla Point,-64.827,-63.4932,1,2,12/9/2002,2002,N,32,1,ASI database,32,
Jougla Point,-64.827,-63.4932,1,2,1/5/2002,2001,N,24,1,ASI database,24,
Jougla Point,-64.827,-63.4932,1,2,12/13/2000,2000,N,26,1,ASI database,26,
Jougla Point,-64.827,-63.4932,1,2,12/17/1999,1999,N,25,1,ASI database,25,
Jougla Point,-64.827,-63.4932,1,2,11/28/1998,1998,N,22,1,ASI database,22,
Jougla Point,-64.827,-63.4932,1,2,12/5/1997,1997,N,20,1,ASI database,20,
Jougla Point,-64.827,-63.4932,1,2,1/14/1996,1995,N,25,1,ASI database,25,
Jougla Point,-64.827,-63.4932,1,2,12/8/1994,1994,N,35,1,ASI database,35,
Jougla Point,-64.827,-63.4932,1,2,2/22/1984,1983,N,40,1,J.J. Argoud pers. comm. in Poncet data,40,
Jougla Point,-64.827,-63.4932,1,2,1/19/1983,1982,N,60,1,Poncet data,60,
Kater Rocks,-63.7658,-59.8969,1,0,2/3/1989,1988,N,100,3,Poncet data,100,
Ketley Point,-64.7066,-62.7631,1,0,1/17/1984,1983,N,29,3,Poncet data,29,"ASI database indicates continued presence as of 12/9/2007, but there was no count"
Killingbeck Island,-67.5714,-68.0733,1,0,3/12/1989,1988,N,30,1,A. Morton pers. comm. in Poncet data,30,
Kitchen Point,-62.387,-59.347,1,0,2/11/1987,1986,A,45,UNK,Shuford and Spear 1988,30,
Lagoon Island,-67.593809,-68.239028,1,0,12/17/1989,1989,N,58,1,A. Morton pers. comm. in Poncet data,58,
Lagotellerie Island,-67.8869,-67.4017,1,0,NA,2012,N,270,1,Casanovas et al 2015,270,
Lagotellerie Island,-67.8869,-67.4017,1,1,2/17/1983,1982,N,10,1,Poncet data,10,
Lajarte Islands (north),-64.22,-63.5,1,0,1/5/1990,1989,N,30,4,Poncet data,30,"Exact location is uncertain; notes from Poncet data say: ""the northernmost island in the group, associated with a chinstrap colony"""
Lajarte Islands (south),-64.2417,-63.4833,1,0,1/5/1990,1989,N,20,4,Poncet data,20,Site is rock islet in the southeastern-most group
Lecointe Island,-64.266,-62.05,1,0,12/21/2003,2003,N,8,1,Lynch et al 2013,8,
Leith Cove,-64.8717,-62.8265,1,0,2/4/1987,1986,N,10,1,Poncet data,10,
Lobodon Rocks,-64.0892,-61.6228,1,0,1/28/1986,1985,N,33,3,Poncet data,33,
Maipo Island,-64.4239,-62.2822,1,0,2/3/1987,1986,N,20,4,Poncet data,20,Site also known as 'Buls Island'
Marie Island,-66.1217,-65.7536,1,0,2/24/1984,1983,N,15,4,Poncet data,15,
Martin Islands,-65.6329,-65.324,1,0,2/25/1984,1983,N,50,4,Poncet data,50,
